"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Sleep","","15-Nov.-2018 10:29 pm","16-Nov.-2018 1:46 am",""
"Feeding","Left Breast","15-Nov.-2018 10:23 pm","15-Nov.-2018 10:26 pm",""
"Feeding","Left Breast","15-Nov.-2018 10:05 pm","15-Nov.-2018 10:10 pm",""
"Diapering","Poo","15-Nov.-2018 9:55 pm","15-Nov.-2018 9:55 pm",""
"Feeding","Meal","15-Nov.-2018 9:35 pm","15-Nov.-2018 9:35 pm",""
"Leisure","Bath time","15-Nov.-2018 9:01 pm","15-Nov.-2018 9:26 pm",""
"Diapering","Pee & Poo","15-Nov.-2018 8:20 pm","15-Nov.-2018 8:20 pm",""
"Feeding","Meal","15-Nov.-2018 7:35 pm","15-Nov.-2018 7:35 pm",""
"Health","Medication","15-Nov.-2018 7:28 pm","15-Nov.-2018 7:28 pm","Coloxal"
"Sleep","","15-Nov.-2018 5:54 pm","15-Nov.-2018 7:10 pm",""
"Feeding","Right Breast","15-Nov.-2018 5:46 pm","15-Nov.-2018 5:54 pm",""
"Diapering","Pee & Poo","15-Nov.-2018 5:41 pm","15-Nov.-2018 5:41 pm",""
"Feeding","Meal","15-Nov.-2018 3:46 pm","15-Nov.-2018 3:46 pm","pear& yogurt "
"Diapering","Pee & Poo","15-Nov.-2018 3:18 pm","15-Nov.-2018 3:18 pm",""
"Sleep","","15-Nov.-2018 2:11 pm","15-Nov.-2018 3:12 pm",""
"Feeding","Meal","15-Nov.-2018 12:11 pm","15-Nov.-2018 12:11 pm",""
"Diapering","Pee & Poo","15-Nov.-2018 12:00 pm","15-Nov.-2018 12:00 pm",""
"Sleep","","15-Nov.-2018 10:03 am","15-Nov.-2018 11:26 am",""
"Feeding","Left Breast","15-Nov.-2018 9:53 am","15-Nov.-2018 10:03 am",""
"Feeding","Meal","15-Nov.-2018 8:31 am","15-Nov.-2018 8:31 am",""
"Diapering","Pee & Poo","15-Nov.-2018 8:22 am","15-Nov.-2018 8:22 am",""
"Sleep","","15-Nov.-2018 6:15 am","15-Nov.-2018 7:52 am",""
"Feeding","Right Breast","15-Nov.-2018 6:05 am","15-Nov.-2018 6:14 am",""
"Sleep","","15-Nov.-2018 1:28 am","15-Nov.-2018 6:03 am",""
"Feeding","Left Breast","15-Nov.-2018 1:09 am","15-Nov.-2018 1:17 am",""
"Sleep","","14-Nov.-2018 10:53 pm","15-Nov.-2018 12:55 am",""
"Sleep","","14-Nov.-2018 10:16 pm","14-Nov.-2018 10:52 pm",""
"Feeding","Right Breast","14-Nov.-2018 10:05 pm","14-Nov.-2018 10:15 pm",""
"Health","Medication","14-Nov.-2018 10:00 pm","14-Nov.-2018 10:00 pm","1.25ml panadol "
"Diapering","Pee & Poo","14-Nov.-2018 9:30 pm","14-Nov.-2018 9:30 pm",""
"Leisure","Bath time","14-Nov.-2018 8:50 pm","14-Nov.-2018 9:10 pm",""
"Feeding","Meal","14-Nov.-2018 7:51 pm","14-Nov.-2018 7:51 pm",""
"Diapering","Pee","14-Nov.-2018 7:15 pm","14-Nov.-2018 7:15 pm",""
"Sleep","","14-Nov.-2018 5:06 pm","14-Nov.-2018 6:33 pm",""
"Feeding","Left Breast","14-Nov.-2018 4:58 pm","14-Nov.-2018 5:05 pm",""
"Diapering","Pee","14-Nov.-2018 4:40 pm","14-Nov.-2018 4:40 pm",""
"Feeding","Meal","14-Nov.-2018 3:33 pm","14-Nov.-2018 3:33 pm","banana toast "
